videoWebUrl,submittedVideoUrl,input,cid,createTime,createTimeISO,text,diggCount,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,uid,uniqueId,avatarThumbnail,mentions,detailedMentions
https://www.tiktok.com/@urns20/video/7578008231730007316,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,7586610602513548053,1766395443,2025-12-22T09:24:03.000Z,aku kena scam tadi.... 😕,84,True,False,,20.0,7555458152289633288,dewdew141,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d588fd777b5daa0cb4615ea37e52b287~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d7f36fa9&x-expires=1783782000&x-signature=P0GThJ%2BuLG5K3lJOP6o1PaboXsU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@urns20/video/7578008231730007316,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,7597419465815098119,1768912071,2026-01-20T12:27:51.000Z,gua juga kena scam sama dia😭😭,0,False,False,,0.0,6939359081807283202,liiiii__7,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/1077a344f921b268c6a87032e801d089~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e6ff9d29&x-expires=1783782000&x-signature=VaD5wHRa5ypmpwwCFR3134Tjggg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@urns20/video/7578008231730007316,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,7582433115840217857,1765422797,2025-12-11T03:13:17.000Z,"barusan kenaaa, sakittt bngtt☹️☹️",24,True,False,,12.0,6588751395935469569,princcesrra,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/72ff1ffc66749172e395119bf0054691~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b48ce719&x-expires=1783782000&x-signature=F8VKxOkGUH13IBnpwRuzyMp0Qzs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@urns20/video/7578008231730007316,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,7578008755029705493,1764392674,2025-11-29T05:04:34.000Z,silakan silaturahmi hehe,22,True,False,,33.0,7523086795719853074,urns20,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c512e03d52a39abd0d8122598d0f98d0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d44ab7ff&x-expires=1783782000&x-signature=iMO35HYEmOnu60JOyMSrSzqX47A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@urns20/video/7578008231730007316,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,7596142397765026561,1768614770,2026-01-17T01:52:50.000Z,nitip nama akun musang 🙏,9,False,False,,36.0,7193930170087719938,yannn_1515,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6a17d6d9b77ae314b78bc8dc6d8aed1c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0bd80258&x-expires=1783782000&x-signature=PvR8cp7lwIiSxMTi7S%2FzpQxR014%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@urns20/video/7578008231730007316,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,7582563712641598226,1765453196,2025-12-11T11:39:56.000Z,"kejadiannya sama kek gua, disuruh first eh dikeluarin dan diblokir gua",39,True,False,,18.0,7343240667256144902,satria13217,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a706b593278f3ff0c982cd15d7304b48~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=380875e2&x-expires=1783782000&x-signature=H5JKMF6FyW1qupNWJheYFvULoaU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@urns20/video/7578008231730007316,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,7587297659309523730,1766555410,2025-12-24T05:50:10.000Z,aku baru kena scam😭,8,False,False,,4.0,7573217335071769607,axel.mahesa.gunawan,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5fae7dd63513fbfd922d552aa0f4e18d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9a7d801f&x-expires=1783782000&x-signature=VSm%2B1l6rYcKNH%2BB21tSj6BQgkC4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@urns20/video/7578008231730007316,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,7608780682692707073,1771557312,2026-02-20T03:15:12.000Z,ka barusan kena tadi..,7,False,False,,13.0,7512005469021602833,ikankembunkpink,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2c7cba91ade9762b8ed75b3fde396637~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1e7baab5&x-expires=1783782000&x-signature=9P5y4d6HkTlMvAdmBDtbUMLM0x0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@urns20/video/7578008231730007316,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,7580642226319295239,1765006102,2025-12-06T07:28:22.000Z,barusan kena scam ilang majaa guaa🙁🙁,9,True,False,,3.0,7530026332181316626,yykshdh,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/898616ac632dc7d18f30e9cb844a7de1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ef31ee6f&x-expires=1783782000&x-signature=hZIWtuRQ777N1Bye9jaYkM88%2FWE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@urns20/video/7578008231730007316,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,7586326086390055697,1766329193,2025-12-21T14:59:53.000Z,gua kena scam 3 scrit hilang Semoga ALLAH berikan ganti nyaa lebih banyak aminnn,6,True,False,,5.0,7422935740424733702,rifat21_18,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2aa3dec421f7c910db9a57265a9cf209~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=873f84b3&x-expires=1783782000&x-signature=ZyDZb19lW6zPysTK0I%2FySQB3Ntg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
https://www.tiktok.com/@urns20/video/7578008231730007316,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,https://www.tiktok.com/@urns20/video/7578008231730007316?_r=1,7590393739009950482,1767276268,2026-01-01T14:04:28.000Z,"day 1 kena scam mana secret terbagus di akun ku lagi, tidaaaa blodmoon whale kesayangan ku hilang",6,False,False,,4.0,7422799095239377926,pin34196,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/937bfbce39e16e0bba257fce1ce3bc4f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8c5b8f4e&x-expires=1783782000&x-signature=r%2F0F31UG75%2F06yItIjRhf7jNFw4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[]
